# year, month, day, hour, minute, second,,time interval
1996,11,8,16,2,13,,8
1996,10,30,12,48,19,,2
1996,10,28,4,46,21,,5
1996,10,23,8,28,6,,4
1996,10,19,19,1,8,,12
1996,10,7,17,43,44,,2
1996,10,5,19,21,2,,49
1996,8,17,15,46,8,,2
1996,8,15,16,7,51,,6
1996,8,9,18,14,56,,2
1996,8,7,3,16,3,,1
1996,8,6,4,50,32,,1
1996,8,5,19,27,52,,0
1996,8,5,15,19,30,,19
1996,7,17,3,16,7,,5
1996,7,12,14,4,45,,17
1996,6,25,11,22,40,,48
1996,5,8,1,2,5,,7
1996,5,1,13,19,25,,31
1996,3,31,0,53,57,,1
1996,3,30,4,3,32,,1
1996,3,29,20,30,54,,4
1996,3,25,17,0,41,,12
1996,3,13,8,31,1,,26
1996,2,16,7,3,14,,1
1996,2,15,2,38,5,,28
1996,1,18,17,10,49,,3
1996,1,15,13,44,23,,19
1995,12,27,12,55,1,,5
1995,12,22,13,26,29,,13
1995,12,9,19,54,26,,14
1995,11,25,5,29,31,,12
1995,11,13,3,10,47,,43
1995,10,1,2,42,1,,22
1995,9,9,7,38,38,,15
1995,8,24,21,54,35,,7
1995,8,17,16,39,2,,11
1995,8,6,4,38,9,,1
1995,8,5,17,14,10,,25
1995,7,11,18,38,41,,2
1995,7,9,18,20,9,,2
1995,7,7,17,33,37,,28
1995,6,9,9,28,38,,68
1995,4,2,12,32,38,,45
1995,2,16,13,5,47,,29
1995,1,18,10,17,26,,8
1995,1,10,21,8,41,,8
1995,1,2,20,41,38,,
